index,element,charge,coordination,ionicradius,variant
Se2-VIII,Se,-2,8,1.9,
Se6+IV,Se,6,4,0.37,
Si4+IV,Si,4,4,0.34,
Si4+VI,Si,4,6,0.48,
Sm3+VI,Sm,3,6,1.04,
Sm3+VIII,Sm,3,8,1.17,
Sn2+VIII,Sn,2,8,1.3,
Sn4+VI,Sn,4,6,0.77,
Sr2+VI,Sr,2,6,1.21,
Sr2+VII,Sr,2,7,1.29,
Sr2+VIII,Sr,2,8,1.33,
Sr2+X,Sr,2,10,1.4,
Sr2+XII,Sr,2,12,1.48,
Ta3+VI,Ta,3,6,0.75,
Ta4+VI,Ta,4,6,0.74,
Ta5+VI,Ta,5,6,0.72,
Ta5+VIII,Ta,5,8,0.77,
Tb3+VI,Tb,3,6,1,
Tb3+VII,Tb,3,7,1.1,
Tb3+VIII,Tb,3,8,1.12,
Tb4+VI,Tb,4,6,0.84,
Tb4+VIII,Tb,4,8,0.96,
Tc4+VI,Tc,4,6,0.72,
Te4+III,Te,4,3,0.6,
Th4+VI,Th,4,6,1.08,
Th4+VIII,Th,4,8,1.12,
Th4+IX,Th,4,9,1.17,
Ti2+VI,Ti,2,6,0.94,
Ti3+VI,Ti,3,6,0.75,
Ti4+V,Ti,4,5,0.61,
Ti4+VI,Ti,4,6,0.69,
Tl1+VI,Tl,1,6,1.58,
Tl1+VIII,Tl,1,8,1.68,
Tl1+XII,Tl,1,12,1.84,
Tl3+VI,Tl,3,6,0.97,
Tl3+VIII,Tl,3,8,1.08,
Tm3+VI,Tm,3,6,0.96,
Tm3+VIII,Tm,3,8,1.07,
U3+VI,U,3,6,1.12,
U4+VII,U,4,7,1.06,
U4+VIII,U,4,8,1.08,
U4+IX,U,4,9,1.13,
U5+VI,U,5,6,0.94,
U5+VII,U,5,7,1.04,
U6+II,U,6,2,0.53,
U6+IV,U,6,4,0.56,
U6+VI,U,6,6,0.81,
U6+VII,U,6,7,0.96,
V2+VI,V,2,6,0.87,
V3+VI,V,3,6,0.72,
V4+VI,V,4,6,0.67,
V5+IV,V,5,4,0.44,
V5+V,V,5,5,0.54,
V5+VI,V,5,6,0.62,
W4+VI,W,4,6,0.73,
W6+IV,W,6,4,0.5,
W6+VI,W,6,6,0.68,
Y3+VI,Y,3,6,0.98,
Y3+VIII,Y,3,8,1.1,
Y3+IX,Y,3,9,1.18,
Yb3+VI,Yb,3,6,0.95,
Yb3+VIII,Yb,3,8,1.06,
Zn2+IV,Zn,2,4,0.68,
Zn2+V,Zn,2,5,0.76,
Zn2+VI,Zn,2,6,0.83,
Zn2+VIII,Zn,2,8,0.98,
Zr4+VI,Zr,4,6,0.8,
Zr4+VII,Zr,4,7,0.86,
Zr4+VIII,Zr,4,8,0.92,
